,date,country,total_cases_predict,total_cases_real,total_deaths_predict,total_deaths_real,error_abs_cases,error_abs_deaths
95,2020-04-15,Spain,172356.0,172541.0,18007.0,18056.0,-185.0,-49.0
96,2020-04-15,United States,604629.0,609516.0,24711.0,26057.0,-4887.0,-1346.0
97,2020-04-15,World,1939213.0,1948511.0,123134.0,125966.0,-9298.0,-2832.0
98,2020-04-16,France,108561.0,106206.0,16643.0,17167.0,2355.0,-524.0
99,2020-04-16,China,83515.0,83402.0,3345.0,3346.0,113.0,-1.0
100,2020-04-16,Italy,165318.0,165155.0,21614.0,21647.0,163.0,-33.0
101,2020-04-16,Spain,174669.0,177633.0,18471.0,18579.0,-2964.0,-108.0
102,2020-04-16,United States,629948.0,639664.0,28329.0,30985.0,-9716.0,-2656.0
103,2020-04-16,World,2011184.0,2029930.0,131848.0,136320.0,-18746.0,-4472.0
104,2020-04-17,France,110413.0,108847.0,18526.0,17920.0,1566.0,606.0
105,2020-04-17,China,83550.0,83754.0,3345.0,4636.0,-204.0,-1291.0
106,2020-04-17,Italy,167785.0,168941.0,22236.0,22172.0,-1156.0,64.0
107,2020-04-17,Spain,180260.0,182816.0,19062.0,19130.0,-2556.0,-68.0
